_id,day,first_time,last_time,nsamples,samples,variable
62c43f70207b665883a7ed56,Tue Jul 05 2022,1657028462093,1657028462093,1,"[{""value"":""0d:17h:27m:55s"",""time"":1657028462093}]",RunningTime
62d03e6a795ead5c74dce101,Thu Jul 14 2022,1657814628774,1657816010162,36,"[{""value"":0,""time"":1657814628774},{""value"":6,""time"":1657814738130},{""value"":5,""time"":1657814888208},{""value"":6,""time"":1657814898222},{""value"":5,""time"":1657814918274},{""value"":6,""time"":1657814928307},{""value"":5,""time"":1657815018480},{""value"":6,""time"":1657815028504},{""value"":5,""time"":1657815118669},{""value"":6,""time"":1657815128676},{""value"":5,""time"":1657815148758},{""value"":6,""time"":1657815158757},{""value"":5,""time"":1657815248883},{""value"":6,""time"":1657815258914},{""value"":5,""time"":1657815278920},{""value"":6,""time"":1657815289008},{""value"":5,""time"":1657815379142},{""value"":6,""time"":1657815389142},{""value"":5,""time"":1657815409364},{""value"":6,""time"":1657815419310},{""value"":5,""time"":1657815509408},{""value"":6,""time"":1657815519408},{""value"":5,""time"":1657815609636},{""value"":6,""time"":1657815619686},{""value"":5,""time"":1657815639676},{""value"":6,""time"":1657815649681},{""value"":5,""time"":1657815739832},{""value"":6,""time"":1657815749858},{""value"":5,""time"":1657815769859},{""value"":6,""time"":1657815779864},{""value"":5,""time"":1657815870034},{""value"":6,""time"":1657815880055},{""value"":5,""time"":1657815970137},{""value"":6,""time"":1657815980157},{""value"":5,""time"":1657816000163},{""value"":6,""time"":1657816010162}]",OperationState
62d03e6a795ead5c74dce102,Thu Jul 14 2022,1657814628774,1657814658104,2,"[{""value"":2,""time"":1657814628774},{""value"":0,""time"":1657814658104}]",Alarm
62d03e6a795ead5c74dce103,Thu Jul 14 2022,1657814628774,1657814628774,1,"[{""value"":2,""time"":1657814628774}]",OperationMode
62d03e84795ead5c74dce10b,Thu Jul 14 2022,1657814657404,1657816008154,46,"[{""value"":0,""time"":1657814657404},{""value"":0,""time"":1657814687425},{""value"":0,""time"":1657814717465},{""value"":0,""time"":1657814747506},{""value"":0,""time"":1657814777407},{""value"":0,""time"":1657814807938},{""value"":0,""time"":1657814837807},{""value"":0,""time"":1657814867249},{""value"":0,""time"":1657814897173},{""value"":0,""time"":1657814928090},{""value"":0,""time"":1657814957356},{""value"":0,""time"":1657814987935},{""value"":0,""time"":1657815017348},{""value"":0,""time"":1657815048052},{""value"":0,""time"":1657815078152},{""value"":0,""time"":1657815107953},{""value"":0,""time"":1657815137970},{""value"":0,""time"":1657815167679},{""value"":0,""time"":1657815197300},{""value"":0,""time"":1657815228080},{""value"":0,""time"":1657815257321},{""value"":0,""time"":1657815288181},{""value"":0,""time"":1657815317407},{""value"":0,""time"":1657815348131},{""value"":0,""time"":1657815377442},{""value"":0,""time"":1657815408243},{""value"":0,""time"":1657815438064},{""value"":0,""time"":1657815467950},{""value"":0,""time"":1657815498125},{""value"":0,""time"":1657815527756},{""value"":0,""time"":1657815557956},{""value"":0,""time"":1657815587577},{""value"":0,""time"":1657815617607},{""value"":0,""time"":1657815648273},{""value"":0,""time"":1657815678253},{""value"":0,""time"":1657815707952},{""value"":0,""time"":1657815738151},{""value"":0,""time"":1657815767636},{""value"":0,""time"":1657815797554},{""value"":0,""time"":1657815828142},{""value"":0,""time"":1657815857821},{""value"":0,""time"":1657815887552},{""value"":0,""time"":1657815918318},{""value"":0,""time"":1657815947748},{""value"":0,""time"":1657815977574},{""value"":0,""time"":1657816008154}]",MainMotorSpeed
62d03e84795ead5c74dce10d,Thu Jul 14 2022,1657814657404,1657816008154,46,"[{""value"":0,""time"":1657814657404},{""value"":0,""time"":1657814687425},{""value"":0,""time"":1657814717465},{""value"":0,""time"":1657814747506},{""value"":0,""time"":1657814777407},{""value"":0,""time"":1657814807938},{""value"":0,""time"":1657814837807},{""value"":0,""time"":1657814867249},{""value"":0,""time"":1657814897173},{""value"":0,""time"":1657814928090},{""value"":0,""time"":1657814957356},{""value"":0,""time"":1657814987935},{""value"":0,""time"":1657815017348},{""value"":0,""time"":1657815048052},{""value"":0,""time"":1657815078152},{""value"":0,""time"":1657815107953},{""value"":0,""time"":1657815137970},{""value"":0,""time"":1657815167679},{""value"":0,""time"":1657815197300},{""value"":0,""time"":1657815228080},{""value"":0,""time"":1657815257321},{""value"":0,""time"":1657815288181},{""value"":0,""time"":1657815317407},{""value"":0,""time"":1657815348131},{""value"":0,""time"":1657815377442},{""value"":0,""time"":1657815408243},{""value"":0,""time"":1657815438064},{""value"":0,""time"":1657815467950},{""value"":0,""time"":1657815498125},{""value"":0,""time"":1657815527756},{""value"":0,""time"":1657815557956},{""value"":0,""time"":1657815587577},{""value"":0,""time"":1657815617607},{""value"":0,""time"":1657815648273},{""value"":0,""time"":1657815678253},{""value"":0,""time"":1657815707952},{""value"":0,""time"":1657815738151},{""value"":0,""time"":1657815767636},{""value"":0,""time"":1657815797554},{""value"":0,""time"":1657815828142},{""value"":0,""time"":1657815857821},{""value"":0,""time"":1657815887552},{""value"":0,""time"":1657815918318},{""value"":0,""time"":1657815947748},{""value"":0,""time"":1657815977574},{""value"":0,""time"":1657816008154}]",MainMotorCurrent
62d03e84795ead5c74dce10f,Thu Jul 14 2022,1657814657404,1657816008154,46,"[{""value"":0,""time"":1657814657404},{""value"":0,""time"":1657814687425},{""value"":0,""time"":1657814717465},{""value"":0,""time"":1657814747506},{""value"":0,""time"":1657814777407},{""value"":0,""time"":1657814807938},{""value"":0,""time"":1657814837807},{""value"":0,""time"":1657814867249},{""value"":0,""time"":1657814897173},{""value"":0,""time"":1657814928090},{""value"":0,""time"":1657814957356},{""value"":0,""time"":1657814987935},{""value"":0,""time"":1657815017348},{""value"":0,""time"":1657815048052},{""value"":0,""time"":1657815078152},{""value"":0,""time"":1657815107953},{""value"":0,""time"":1657815137970},{""value"":0,""time"":1657815167679},{""value"":0,""time"":1657815197300},{""value"":0,""time"":1657815228080},{""value"":0,""time"":1657815257321},{""value"":0,""time"":1657815288181},{""value"":0,""time"":1657815317407},{""value"":0,""time"":1657815348131},{""value"":0,""time"":1657815377442},{""value"":0,""time"":1657815408243},{""value"":0,""time"":1657815438064},{""value"":0,""time"":1657815467950},{""value"":0,""time"":1657815498125},{""value"":0,""time"":1657815527756},{""value"":0,""time"":1657815557956},{""value"":0,""time"":1657815587577},{""value"":0,""time"":1657815617607},{""value"":0,""time"":1657815648273},{""value"":0,""time"":1657815678253},{""value"":0,""time"":1657815707952},{""value"":0,""time"":1657815738151},{""value"":0,""time"":1657815767636},{""value"":0,""time"":1657815797554},{""value"":0,""time"":1657815828142},{""value"":0,""time"":1657815857821},{""value"":0,""time"":1657815887552},{""value"":0,""time"":1657815918318},{""value"":0,""time"":1657815947748},{""value"":0,""time"":1657815977574},{""value"":0,""time"":1657816008154}]",HeadMotorSpeed
62d03e84795ead5c74dce111,Thu Jul 14 2022,1657814657404,1657816008154,46,"[{""value"":0,""time"":1657814657404},{""value"":0,""time"":1657814687425},{""value"":0,""time"":1657814717465},{""value"":0,""time"":1657814747506},{""value"":0,""time"":1657814777407},{""value"":0,""time"":1657814807938},{""value"":0,""time"":1657814837807},{""value"":0,""time"":1657814867249},{""value"":0,""time"":1657814897173},{""value"":0,""time"":1657814928090},{""value"":0,""time"":1657814957356},{""value"":0,""time"":1657814987935},{""value"":0,""time"":1657815017348},{""value"":0,""time"":1657815048052},{""value"":0,""time"":1657815078152},{""value"":0,""time"":1657815107953},{""value"":0,""time"":1657815137970},{""value"":0,""time"":1657815167679},{""value"":0,""time"":1657815197300},{""value"":0,""time"":1657815228080},{""value"":0,""time"":1657815257321},{""value"":0,""time"":1657815288181},{""value"":0,""time"":1657815317407},{""value"":0,""time"":1657815348131},{""value"":0,""time"":1657815377442},{""value"":0,""time"":1657815408243},{""value"":0,""time"":1657815438064},{""value"":0,""time"":1657815467950},{""value"":0,""time"":1657815498125},{""value"":0,""time"":1657815527756},{""value"":0,""time"":1657815557956},{""value"":0,""time"":1657815587577},{""value"":0,""time"":1657815617607},{""value"":0,""time"":1657815648273},{""value"":0,""time"":1657815678253},{""value"":0,""time"":1657815707952},{""value"":0,""time"":1657815738151},{""value"":0,""time"":1657815767636},{""value"":0,""time"":1657815797554},{""value"":0,""time"":1657815828142},{""value"":0,""time"":1657815857821},{""value"":0,""time"":1657815887552},{""value"":0,""time"":1657815918318},{""value"":0,""time"":1657815947748},{""value"":0,""time"":1657815977574},{""value"":0,""time"":1657816008154}]",HeadMotorCurrent
62d03ea2795ead5c74dce119,Thu Jul 14 2022,1657814678106,1657816000165,23,"[{""value"":0,""time"":1657814678106},{""value"":3203,""time"":1657814738132},{""value"":14958.01,""time"":1657814798153},{""value"":20437.18,""time"":1657814858195},{""value"":22976.03,""time"":1657814918276},{""value"":25559.79,""time"":1657814978422},{""value"":26314.51,""time"":1657815038538},{""value"":27835.02,""time"":1657815098571},{""value"":28149.03,""time"":1657815158759},{""value"":29081.47,""time"":1657815218825},{""value"":29397.13,""time"":1657815278922},{""value"":30154.82,""time"":1657815339095},{""value"":30253.82,""time"":1657815399194},{""value"":30819.93,""time"":1657815459399},{""value"":30776.54,""time"":1657815519410},{""value"":31250.56,""time"":1657815579612},{""value"":31278.17,""time"":1657815639677},{""value"":31679.38,""time"":1657815699837},{""value"":31710.77,""time"":1657815759859},{""value"":32020.29,""time"":1657815820017},{""value"":31949.45,""time"":1657815880057},{""value"":32245.75,""time"":1657815940104},{""value"":32212.17,""time"":1657816000165}]",ProdSpeed
62d03ea2795ead5c74dce11b,Thu Jul 14 2022,1657814678106,1657816000165,23,"[{""value"":396.67,""time"":1657814678106},{""value"":395.77,""time"":1657814738132},{""value"":396.11,""time"":1657814798153},{""value"":396.67,""time"":1657814858195},{""value"":397.06,""time"":1657814918276},{""value"":396.78,""time"":1657814978422},{""value"":396.23,""time"":1657815038538},{""value"":395.76,""time"":1657815098571},{""value"":395.61,""time"":1657815158759},{""value"":395.57,""time"":1657815218825},{""value"":395.47,""time"":1657815278922},{""value"":395.3,""time"":1657815339095},{""value"":395.08,""time"":1657815399194},{""value"":394.85,""time"":1657815459399},{""value"":394.57,""time"":1657815519410},{""value"":394.03,""time"":1657815579612},{""value"":393.44,""time"":1657815639677},{""value"":392.97,""time"":1657815699837},{""value"":392.56,""time"":1657815759859},{""value"":392.14,""time"":1657815820017},{""value"":391.63,""time"":1657815880057},{""value"":391.17,""time"":1657815940104},{""value"":390.72,""time"":1657816000165}]",PowerVoltage
62d03ea2795ead5c74dce11d,Thu Jul 14 2022,1657814678106,1657816000165,23,"[{""value"":0.6,""time"":1657814678106},{""value"":1.4,""time"":1657814738132},{""value"":4.33,""time"":1657814798153},{""value"":5.7,""time"":1657814858195},{""value"":6.32,""time"":1657814918276},{""value"":6.96,""time"":1657814978422},{""value"":7.15,""time"":1657815038538},{""value"":7.53,""time"":1657815098571},{""value"":7.6,""time"":1657815158759},{""value"":7.82,""time"":1657815218825},{""value"":7.91,""time"":1657815278922},{""value"":8.09,""time"":1657815339095},{""value"":8.12,""time"":1657815399194},{""value"":8.25,""time"":1657815459399},{""value"":8.23,""time"":1657815519410},{""value"":8.35,""time"":1657815579612},{""value"":8.36,""time"":1657815639677},{""value"":8.48,""time"":1657815699837},{""value"":8.5,""time"":1657815759859},{""value"":8.56,""time"":1657815820017},{""value"":8.53,""time"":1657815880057},{""value"":8.59,""time"":1657815940104},{""value"":8.57,""time"":1657816000165}]",PowerCurrent
62d03ea2795ead5c74dce11f,Thu Jul 14 2022,1657814678106,1657816000165,23,"[{""value"":0,""time"":1657814678106},{""value"":0,""time"":1657814738132},{""value"":0,""time"":1657814798153},{""value"":0,""time"":1657814858195},{""value"":0,""time"":1657814918276},{""value"":0,""time"":1657814978422},{""value"":0,""time"":1657815038538},{""value"":0,""time"":1657815098571},{""value"":0,""time"":1657815158759},{""value"":0,""time"":1657815218825},{""value"":0,""time"":1657815278922},{""value"":0,""time"":1657815339095},{""value"":0,""time"":1657815399194},{""value"":0,""time"":1657815459399},{""value"":0,""time"":1657815519410},{""value"":0,""time"":1657815579612},{""value"":0,""time"":1657815639677},{""value"":0,""time"":1657815699837},{""value"":0,""time"":1657815759859},{""value"":0,""time"":1657815820017},{""value"":0,""time"":1657815880057},{""value"":0,""time"":1657815940104},{""value"":0,""time"":1657816000165}]",AirConsumption
62d03ea2795ead5c74dce121,Thu Jul 14 2022,1657814678106,1657816000165,23,"[{""value"":0,""time"":1657814678106},{""value"":0,""time"":1657814738132},{""value"":0,""time"":1657814798153},{""value"":0,""time"":1657814858195},{""value"":0,""time"":1657814918276},{""value"":0,""time"":1657814978422},{""value"":0,""time"":1657815038538},{""value"":0,""time"":1657815098571},{""value"":0,""time"":1657815158759},{""value"":0,""time"":1657815218825},{""value"":0,""time"":1657815278922},{""value"":0,""time"":1657815339095},{""value"":0,""time"":1657815399194},{""value"":0,""time"":1657815459399},{""value"":0,""time"":1657815519410},{""value"":0,""time"":1657815579612},{""value"":0,""time"":1657815639677},{""value"":0,""time"":1657815699837},{""value"":0,""time"":1657815759859},{""value"":0,""time"":1657815820017},{""value"":0,""time"":1657815880057},{""value"":0,""time"":1657815940104},{""value"":0,""time"":1657816000165}]",LubeLevel
62d03ea2795ead5c74dce123,Thu Jul 14 2022,1657814678118,1657816000181,23,"[{""value"":396.66,""time"":1657814678118},{""value"":395.77,""time"":1657814738146},{""value"":396.11,""time"":1657814798176},{""value"":396.66,""time"":1657814858207},{""value"":397.05,""time"":1657814918308},{""value"":396.78,""time"":1657814978434},{""value"":396.23,""time"":1657815038550},{""value"":395.76,""time"":1657815098592},{""value"":395.61,""time"":1657815158783},{""value"":395.57,""time"":1657815218851},{""value"":395.47,""time"":1657815278940},{""value"":395.3,""time"":1657815339117},{""value"":395.08,""time"":1657815399207},{""value"":394.85,""time"":1657815459417},{""value"":394.57,""time"":1657815519429},{""value"":394.03,""time"":1657815579626},{""value"":393.44,""time"":1657815639697},{""value"":392.97,""time"":1657815699857},{""value"":392.56,""time"":1657815759878},{""value"":392.14,""time"":1657815820033},{""value"":391.63,""time"":1657815880075},{""value"":391.17,""time"":1657815940119},{""value"":390.72,""time"":1657816000181}]",test1
62d03ea2795ead5c74dce125,Thu Jul 14 2022,1657814688126,1657815989523,23,"[{""value"":0,""time"":1657814688126},{""value"":0,""time"":1657814748133},{""value"":0,""time"":1657814788153},{""value"":0,""time"":1657814848189},{""value"":0,""time"":1657814908244},{""value"":0,""time"":1657814968412},{""value"":0,""time"":1657815028492},{""value"":0,""time"":1657815088558},{""value"":0,""time"":1657815148662},{""value"":0,""time"":1657815208800},{""value"":0,""time"":1657815268841},{""value"":0,""time"":1657815328927},{""value"":0,""time"":1657815388953},{""value"":0,""time"":1657815449029},{""value"":0,""time"":1657815509029},{""value"":0,""time"":1657815569066},{""value"":0,""time"":1657815629184},{""value"":0,""time"":1657815689198},{""value"":0,""time"":1657815749214},{""value"":0,""time"":1657815809231},{""value"":0,""time"":1657815869280},{""value"":0,""time"":1657815929458},{""value"":0,""time"":1657815989523}]",test2
62d03ea2795ead5c74dce127,Thu Jul 14 2022,1657814673105,1657815994413,23,"[{""value"":0,""time"":1657814673105},{""value"":0,""time"":1657814733115},{""value"":0,""time"":1657814793179},{""value"":0,""time"":1657814853233},{""value"":0,""time"":1657814913300},{""value"":0,""time"":1657814973299},{""value"":0,""time"":1657815033407},{""value"":0,""time"":1657815093436},{""value"":0,""time"":1657815153806},{""value"":0,""time"":1657815213774},{""value"":0,""time"":1657815274050},{""value"":0,""time"":1657815334061},{""value"":0,""time"":1657815394178},{""value"":0,""time"":1657815454288},{""value"":0,""time"":1657815514294},{""value"":0,""time"":1657815574310},{""value"":0,""time"":1657815634322},{""value"":0,""time"":1657815694327},{""value"":0,""time"":1657815754328},{""value"":0,""time"":1657815814369},{""value"":0,""time"":1657815874370},{""value"":0,""time"":1657815934462},{""value"":0,""time"":1657815994413}]",test3
62d03f92795ead5c74dce5aa,Thu Jul 14 2022,1657814868198,1657815768401,4,"[{""value"":750263,""time"":1657814868198},{""value"":753127,""time"":1657815168288},{""value"":755989,""time"":1657815468333},{""value"":758852,""time"":1657815768401}]",TotalProduct
62d03f92795ead5c74dce5ac,Thu Jul 14 2022,1657814868198,1657815768401,4,"[{""value"":""1d:4h:42m:36s"",""time"":1657814868198},{""value"":""1d:4h:47m:36s"",""time"":1657815168288},{""value"":""1d:4h:52m:36s"",""time"":1657815468333},{""value"":""1d:4h:57m:36s"",""time"":1657815768401}]",PowerOnTime
62d03f92795ead5c74dce5ae,Thu Jul 14 2022,1657814868198,1657815768401,4,"[{""value"":""0d:21h:47m:59s"",""time"":1657814868198},{""value"":""0d:21h:52m:59s"",""time"":1657815168288},{""value"":""0d:21h:57m:59s"",""time"":1657815468333},{""value"":""0d:22h:2m:59s"",""time"":1657815768401}]",RunningTime